id_familia,idade,sexo,escolaridade,renda_familiar,qtd_pessoas_familia,possui_deficiencia,situacao_trabalho,tipo_moradia,acesso_agua,acesso_esgoto,recebe_bolsa_familia,cod_municipio,renda_per_capita,vulnerabilidade_idade,infraestrutura_adequada,escolaridade_baixa,situacao_trabalho_precaria,superlotacao,renda_per_capita_norm,score_vulnerabilidade,nivel_vulnerabilidade
36550.0,31,F,0,94.0,6,1,1,1,0,0,1,1400050,15.666666666666666,0,0,1,1,1,-0.5136004857440299,0.7040801457232089,Muito Alta
36622.0,29,F,0,0.0,3,1,0,1,1,1,1,1400209,0.0,0,1,1,1,0,-0.5651923734143823,0.46955771202431473,Alta
36665.0,31,M,0,6.0,2,1,0,1,1,0,1,1400050,3.0,0,0,1,1,0,-0.5553130757753787,0.6165939227326136,Muito Alta
36672.0,62,M,0,400.0,1,0,1,1,1,0,0,1400472,400.0,0,0,1,1,0,0.7520473117861028,0.12438580646416916,Alta
36687.0,33,M,0,50.0,2,1,1,1,1,0,1,1400472,25.0,0,0,1,1,0,-0.482864893089352,0.5948594679268057,Muito Alta
36799.0,20,F,0,0.0,3,1,0,1,1,0,1,1400605,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
36839.0,79,F,0,937.0,1,1,0,1,0,0,0,1400175,937.0,1,0,1,1,0,2.5204415891677536,-0.10613247675032592,Média
36848.0,27,F,3,0.0,4,1,0,3,0,0,1,1400407,0.0,0,0,0,1,0,-0.5651923734143823,0.46955771202431473,Alta
36936.0,23,F,0,20.0,5,1,0,1,0,0,1,1400233,4.0,0,0,1,1,0,-0.5520199765623774,0.6156059929687132,Muito Alta
37025.0,24,F,0,20.0,6,1,0,1,1,0,1,1400159,3.3333333333333335,0,0,1,1,1,-0.5542153760377115,0.7162646128113135,Muito Alta
37220.0,22,F,0,50.0,4,1,0,1,1,0,1,1400209,12.5,0,0,1,1,0,-0.5240286332518671,0.60720858997556,Muito Alta
37268.0,53,F,0,128.0,3,1,0,1,1,0,0,1400233,42.666666666666664,0,0,1,1,0,-0.42468680699299727,0.5774060420978993,Muito Alta
37276.0,18,F,0,0.0,4,1,0,1,0,0,1,1400027,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
37297.0,83,M,0,937.0,1,0,0,2,0,0,0,1400472,937.0,1,0,1,1,0,2.5204415891677536,-0.20613247675032592,Média
37322.0,37,F,0,111.0,5,1,1,1,1,0,0,1400050,22.2,0,0,1,1,0,-0.4920855708857554,0.5976256712657266,Muito Alta
37346.0,16,M,2,75.0,3,1,0,1,1,0,1,1400209,25.0,1,0,1,1,0,-0.482864893089352,0.7948594679268056,Muito Alta
37448.0,47,F,0,0.0,4,1,0,2,0,0,1,1400407,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
37476.0,75,M,0,394.0,2,1,0,1,0,0,0,1400209,197.0,1,0,1,1,0,0.0835481715468566,0.624935548535943,Muito Alta
37535.0,20,F,0,0.0,4,1,1,1,0,0,1,1400704,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
37544.0,51,M,0,233.0,1,1,1,1,0,0,0,1400027,233.0,0,0,1,1,0,0.20209974321490026,0.38937007703552995,Alta
37545.0,37,F,0,318.0,3,1,0,2,0,0,0,1400282,106.0,0,0,1,1,0,-0.21612385683625374,0.5148371570508761,Muito Alta
37570.0,28,M,0,183.0,1,1,1,1,0,0,0,1400175,183.0,0,0,1,1,0,0.037444782564839636,0.43876656523054813,Alta
37576.0,26,F,0,10.0,7,1,1,1,0,0,1,1400456,1.4285714285714286,0,0,1,1,1,-0.5604879459672377,0.7181463837901713,Muito Alta
37594.0,34,F,0,157.0,5,1,1,1,1,1,0,1400209,31.4,0,1,1,1,0,-0.4617890581261442,0.4385367174378433,Alta
37635.0,30,F,0,34.0,3,1,0,1,1,0,1,1400308,11.333333333333334,0,0,1,1,0,-0.5278705823337019,0.6083611747001105,Muito Alta
37639.0,47,M,0,4.0,3,1,0,1,0,0,1,1400050,1.3333333333333333,0,0,1,1,0,-0.5608015744637139,0.6182404723391142,Muito Alta
37789.0,62,M,0,4.0,3,1,1,1,1,0,1,1400175,1.3333333333333333,0,0,1,1,0,-0.5608015744637139,0.6182404723391142,Muito Alta
37861.0,32,F,0,1000.0,1,1,1,1,1,0,0,1400209,1000.0,0,0,1,1,0,2.7279068395868302,-0.36837205187604893,Média
37875.0,55,F,0,0.0,4,1,1,1,1,0,1,1400704,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
37898.0,35,M,0,650.0,2,1,1,1,1,0,0,1400472,325.0,0,0,1,1,0,0.5050648708110118,0.29848053875669645,Alta
37899.0,34,F,0,25.0,6,1,0,1,1,0,1,1400175,4.166666666666667,0,0,1,1,1,-0.5514711266935439,0.7154413380080631,Muito Alta
37998.0,44,F,0,0.0,2,1,0,1,0,0,1,1400209,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
38006.0,56,F,0,115.0,2,1,1,1,1,0,0,1400159,57.5,0,0,1,1,0,-0.37583916866681255,0.5627517506000438,Muito Alta
38025.0,45,F,0,40.0,3,1,0,1,0,0,1,1400605,13.333333333333334,0,0,1,1,0,-0.5212843839076994,0.6063853151723099,Muito Alta
38029.0,23,F,0,18.0,4,1,0,1,1,1,1,1400308,4.5,0,1,1,1,0,-0.5503734269558769,0.4651120280867631,Alta
38050.0,54,M,0,468.0,2,1,0,1,1,0,0,1400605,234.0,0,0,1,1,0,0.20539284242790148,0.38838214727162956,Alta
38056.0,62,M,0,937.0,1,0,0,1,0,1,0,1400472,937.0,0,0,1,1,0,2.5204415891677536,-0.406132476750326,Média
38090.0,19,F,0,11.0,2,1,1,1,0,0,1,1400472,5.5,0,0,1,1,0,-0.5470803277428756,0.6141240983228627,Muito Alta
38108.0,51,M,0,200.0,1,1,1,1,0,0,0,1400308,200.0,0,0,1,1,0,0.09342746918586026,0.4219717592442419,Alta
38120.0,37,F,0,42.0,7,1,1,1,0,0,1,1400456,6.0,0,0,1,1,1,-0.5454337781363751,0.7136301334409125,Muito Alta
38130.0,39,F,0,50.0,5,1,1,1,0,0,1,1400456,10.0,0,0,1,1,0,-0.5322613812843702,0.609678414385311,Muito Alta
38171.0,45,M,0,312.0,3,1,0,1,0,0,0,1400282,104.0,0,0,1,1,0,-0.22271005526225618,0.5168130165786768,Muito Alta
38208.0,18,F,0,8.0,2,1,0,1,1,0,1,1400308,4.0,0,0,1,1,0,-0.5520199765623774,0.6156059929687132,Muito Alta
38219.0,21,F,0,0.0,2,1,0,1,1,0,1,1400027,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
38248.0,57,M,0,0.0,1,1,0,1,0,0,1,1400027,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
38258.0,16,F,0,12.0,2,1,1,1,0,0,1,1400050,6.0,1,0,1,1,0,-0.5454337781363751,0.8136301334409125,Muito Alta
